"","season","neighborhood","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","Winter","pennsylvania_1",9.15185896468558,0.316837587730374,Inf,8.5308687037855,9.77284922558566
"2","Spring","pennsylvania_1",6.54665734454135,0.315559465363454,Inf,5.92817215744827,7.16514253163444
"3","Summer","pennsylvania_1",7.76765711206196,0.315274970589565,Inf,7.14972952447949,8.38558469964444
"4","Fall","pennsylvania_1",7.52301812382393,0.31646863426514,Inf,6.90275099842768,8.14328524922018
"5","Winter","massachusetts_1",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"6","Spring","massachusetts_1",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"7","Summer","massachusetts_1",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"8","Fall","massachusetts_1",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"9","Winter","massachusetts_2",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"10","Spring","massachusetts_2",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"11","Summer","massachusetts_2",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"12","Fall","massachusetts_2",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"13","Winter","massachusetts_3",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"14","Spring","massachusetts_3",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.9746444683325
"15","Summer","massachusetts_3",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590046
"16","Fall","massachusetts_3",6.92244753739178,0.325149319990645,Inf,6.28516658061243,7.55972849417113
"17","Winter","massachusetts_4",7.20776139171235,0.327372410601223,Inf,6.56612325740189,7.8493995260228
"18","Spring","massachusetts_4",5.33169508316946,0.328041428431615,Inf,4.68874569800642,5.97464446833249
"19","Summer","massachusetts_4",7.36335325844456,0.323731967761029,Inf,6.72885026098866,7.99785625590045
"20","Fall","massachusetts_4",6.92244753739178,0.325149319990645,Inf,6.28516658061242,7.55972849417113
"21","Winter","massachusetts_5",6.32084317897043,0.373005990608009,Inf,5.58976487136104,7.05192148657981
"22","Spring","massachusetts_5",5.25924908081357,0.476947745885352,Inf,4.32444867637072,6.19404948525642
"23","Summer","massachusetts_5",6.58488071812249,0.34494619032115,Inf,5.90879860848874,7.26096282775625
"24","Fall","massachusetts_5",5.95425147323233,0.34784281040917,Inf,5.27249209254916,6.63601085391549
"25","Winter","massachusetts_6",6.32084317897043,0.373005990608009,Inf,5.58976487136105,7.05192148657981
"26","Spring","massachusetts_6",5.25924908081357,0.476947745885352,Inf,4.32444867637072,6.19404948525642
"27","Summer","massachusetts_6",6.58488071812249,0.344946190321151,Inf,5.90879860848874,7.26096282775625
"28","Fall","massachusetts_6",5.95425147323233,0.34784281040917,Inf,5.27249209254916,6.6360108539155
"29","Winter","delaware_1",7.95751645700276,0.321819796588319,Inf,7.32676124617765,8.58827166782787
"30","Spring","delaware_1",6.23000202407266,0.322102516669361,Inf,5.59869269207099,6.86131135607432
"31","Summer","delaware_1",6.8981583138571,0.320120671806764,Inf,6.27073332640908,7.52558330130513
"32","Fall","delaware_1",6.67061179362692,0.321173483618376,Inf,6.04112333294564,7.3001002543082
"33","Winter","new york_1",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"34","Spring","new york_1",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"35","Summer","new york_1",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"36","Fall","new york_1",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"37","Winter","new york_10",8.58871983795934,0.374230354535524,Inf,7.85524182114805,9.32219785477062
"38","Spring","new york_10",4.61645707773204,0.374826443956858,Inf,3.88181074712338,5.35110340834071
"39","Summer","new york_10",6.02492107402817,0.380833445257385,Inf,5.27850123721538,6.77134091084095
"40","Fall","new york_10",4.9235372081319,0.418213833930416,Inf,4.10385315579187,5.74322126047193
"41","Winter","new york_2",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"42","Spring","new york_2",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"43","Summer","new york_2",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"44","Fall","new york_2",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"45","Winter","new york_3",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"46","Spring","new york_3",4.93411744056414,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"47","Summer","new york_3",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"48","Fall","new york_3",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"49","Winter","new york_4",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"50","Spring","new york_4",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"51","Summer","new york_4",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"52","Fall","new york_4",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"53","Winter","new york_5",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"54","Spring","new york_5",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"55","Summer","new york_5",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"56","Fall","new york_5",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"57","Winter","new york_6",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"58","Spring","new york_6",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"59","Summer","new york_6",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"60","Fall","new york_6",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"61","Winter","new york_7",9.03126921146496,0.332367422266929,Inf,8.37984103418737,9.68269738874256
"62","Spring","new york_7",4.93411744056415,0.346112744848439,Inf,4.2557489260709,5.61248595505739
"63","Summer","new york_7",6.47823389418954,0.352925589181868,Inf,5.7865124501705,7.16995533820858
"64","Fall","new york_7",6.03046978830667,0.343960374470656,Inf,5.35631984223528,6.70461973437807
"65","Winter","new york_8",8.58871983795934,0.374230354535524,Inf,7.85524182114805,9.32219785477062
"66","Spring","new york_8",4.61645707773204,0.374826443956858,Inf,3.88181074712338,5.35110340834071
"67","Summer","new york_8",6.02492107402817,0.380833445257385,Inf,5.27850123721539,6.77134091084095
"68","Fall","new york_8",4.9235372081319,0.418213833930416,Inf,4.10385315579187,5.74322126047193
"69","Winter","new york_9",8.58871983795934,0.374230354535524,Inf,7.85524182114805,9.32219785477062
"70","Spring","new york_9",4.61645707773204,0.374826443956858,Inf,3.88181074712338,5.35110340834071
"71","Summer","new york_9",6.02492107402817,0.380833445257385,Inf,5.27850123721539,6.77134091084095
"72","Fall","new york_9",4.9235372081319,0.418213833930416,Inf,4.10385315579187,5.74322126047193
"73","Winter","new jersey_1",9.14207740806293,0.34354283435072,Inf,8.46874582558871,9.81540899053715
"74","Spring","new jersey_1",6.83945705907637,0.362492816635582,Inf,6.12898419381615,7.54992992433659
"75","Summer","new jersey_1",8.66599219342498,0.352163261075594,Inf,7.97576488503864,9.35621950181132
"76","Fall","new jersey_1",7.71829125731717,0.345519874789797,Inf,7.04108474678638,8.39549776784796
"77","Winter","new jersey_2",9.59414042079822,0.348722396977511,Inf,8.91065708211982,10.2776237594766
"78","Spring","new jersey_2",6.91750885132598,0.366638043299202,Inf,6.19891149109731,7.63610621155465
"79","Summer","new jersey_2",8.79893991043826,0.357009413696725,Inf,8.09921431745092,9.4986655034256
"80","Fall","new jersey_2",7.91325770173831,0.351228738775459,Inf,7.22486202340299,8.60165338007364
"81","Winter","new jersey_3",9.95067910966847,0.356110674837962,Inf,9.25271501247581,10.6486432068611
"82","Spring","new jersey_3",7.0244398836594,0.369840199346908,Inf,6.29956641290435,7.74931335441446
"83","Summer","new jersey_3",8.8752936835328,0.363263926711363,Inf,8.16330947029594,9.58727789676967
"84","Fall","new jersey_3",8.08451566426903,0.35840920683382,Inf,7.38204652714717,8.78698480139088
"85","Winter","maryland_1",6.38279424083406,0.373595550114413,Inf,5.65056041782538,7.11502806384274
"86","Spring","maryland_1",4.38603328619142,0.376226947322169,Inf,3.64864201942652,5.12342455295632
"87","Summer","maryland_1",6.30593876997335,0.372819001525686,Inf,5.57522695423082,7.03665058571588
"88","Fall","maryland_1",5.38157264398171,0.376211128233309,Inf,4.64421238206125,6.11893290590218
"89","Winter","pennsylvania_2",8.89537476245346,0.322565644393322,Inf,8.26315771679259,9.52759180811432
"90","Spring","pennsylvania_2",5.99218765419658,0.321035620660707,Inf,5.36296939994714,6.62140590844603
"91","Summer","pennsylvania_2",7.24562882736244,0.322064695035919,Inf,6.61439362440016,7.87686403032472
"92","Fall","pennsylvania_2",7.33917371060571,0.322773778999982,Inf,6.70654872861186,7.97179869259957
"93","Winter","delaware_2",8.54050811279032,0.337836212328892,Inf,7.87836130395227,9.20265492162838
"94","Spring","delaware_2",6.80107788634438,0.345212111819585,Inf,6.12447458015098,7.47768119253778
"95","Summer","delaware_2",7.46547866748348,0.334108436717432,Inf,6.81063816458633,8.12031917038063
"96","Fall","delaware_2",7.45536150510478,0.33380487899594,Inf,6.80111596440899,8.10960704580058
"97","Winter","delaware_3",8.54050811279032,0.337836212328892,Inf,7.87836130395227,9.20265492162837
"98","Spring","delaware_3",6.80107788634438,0.345212111819585,Inf,6.12447458015098,7.47768119253778
"99","Summer","delaware_3",7.46547866748348,0.334108436717432,Inf,6.81063816458633,8.12031917038063
"100","Fall","delaware_3",7.45536150510478,0.33380487899594,Inf,6.80111596440899,8.10960704580058
"101","Winter","delaware_4",8.54050811279032,0.337836212328892,Inf,7.87836130395227,9.20265492162837
"102","Spring","delaware_4",6.80107788634438,0.345212111819585,Inf,6.12447458015098,7.47768119253778
"103","Summer","delaware_4",7.46547866748348,0.334108436717432,Inf,6.81063816458633,8.12031917038063
"104","Fall","delaware_4",7.45536150510478,0.33380487899594,Inf,6.80111596440899,8.10960704580058
"105","Winter","delaware_5",8.54050811279032,0.337836212328892,Inf,7.87836130395227,9.20265492162838
"106","Spring","delaware_5",6.80107788634438,0.345212111819585,Inf,6.12447458015098,7.47768119253778
"107","Summer","delaware_5",7.46547866748348,0.334108436717432,Inf,6.81063816458633,8.12031917038063
"108","Fall","delaware_5",7.45536150510478,0.33380487899594,Inf,6.80111596440899,8.10960704580058
"109","Winter","pennsylvania_3",8.93060732737487,0.325885021180099,Inf,8.29188442276081,9.56933023198894
"110","Spring","pennsylvania_3",5.88229264539862,0.324438686251721,Inf,5.24640450515375,6.51818078564348
"111","Summer","pennsylvania_3",7.08240899784562,0.324328309751615,Inf,6.4467371915657,7.71808080412553
"112","Fall","pennsylvania_3",7.42720486045473,0.323798471445564,Inf,6.79257151817231,8.06183820273716
"113","Winter","pennsylvania_4",8.87364566201591,0.338284817272677,Inf,8.21061960364475,9.53667172038707
"114","Spring","pennsylvania_4",6.14448114811624,0.330768861925832,Inf,5.49618609153431,6.79277620469817
"115","Summer","pennsylvania_4",7.0118534743092,0.327657035188236,Inf,6.36965748605909,7.65404946255932
"116","Fall","pennsylvania_4",7.57390109890132,0.32881848311408,Inf,6.92942871454663,8.218373483256
